还有双鸭山到淮阴的汽车票吗13号的	Travel-Query
从这里怎么回家	Travel-Query
随便播放一首专辑阁楼里的佛里的歌	Music-Play
给看一下墓王之王嘛	FilmTele-Play
我想看挑战两把s686打突变团竞的游戏视频	Video-Play
我想看和平精英上战神必备技巧的游戏视频	Video-Play
2019年古装爱情电视剧小女花不弃的花絮播放一下	Video-Play
找一个2004年的推理剧给我看一会呢	FilmTele-Play
自驾游去深圳都经过那些地方啊	Travel-Query
给我转播今天的女子双打乒乓球比赛现场	Video-Play
单曲循环一首催眠的歌吧	Music-Play
你能播放一下曹盾导演的古装悬疑剧呢	FilmTele-Play
河南新闻广播找一下啊是新闻台	Radio-Listen
交通类的武汉交通广播电台来一个吧	Radio-Listen
播放香港电台的王菲的经典音乐	Radio-Listen
给我找一个魔兽世界的比赛视频	Video-Play
播放钢琴曲命运交响曲	Music-Play
早上七点开空调	HomeAppliance-Control
查询北京飞桂林的飞机是否已经起飞了	Travel-Query
播放中央电台里的都市之声	Radio-Listen
客厅空调风速低一些低一些	HomeAppliance-Control
海南今天几级风	Weather-Query
打开烤箱的开关按钮	HomeAppliance-Control
帮我定一个22号下午2点参加公司年会的闹钟。	Alarm-Update
儿童房的空调调高4度	HomeAppliance-Control
6月18号零点京东的拍卖活动提醒我一下。	Alarm-Update
能随机给我来一个赵丽颖2020年上的剧吗	FilmTele-Play
麻烦帮我创建一个周末上午8点和女朋友的约会提醒。	Alarm-Update
我要听治愈系的日语歌曲	Music-Play
我一定要单曲循环赵雷的我们的时光这首流行	Music-Play
5月8号下午4点之前的提醒取消掉	Alarm-Update
让洗衣机停止工作好吗	HomeAppliance-Control
昨天秦岭是不是刮风了	Weather-Query
我要出去旅游几天，帮我把灯设置为离家模式吧	HomeAppliance-Control
音乐老友记拨给我是山西音乐广播的	Radio-Listen
我想看2020年谍战电视剧秋蝉第三集花絮	Video-Play
能把家庭剧小欢喜给我播放一下吗	FilmTele-Play
五一劳动节是农历几时	Calendar-Query
杨延东2021年上线的剧播放来看看呢	FilmTele-Play
播放美国推理电影蜘蛛侠	FilmTele-Play
快点帮我定一个周末上午9点跟家人一起去动物园的闹钟。	Alarm-Update
把盛志耘主持的神州之声播放一下呢	Radio-Listen
快帮我查一下明天是星期几	Calendar-Query
可不可以把电饭煲开到蛋糕模式呢	HomeAppliance-Control
查询衡水晚上气温多少	Weather-Query
订三张明天早上飞成都的经济舱	Travel-Query
农历的3月26是几号	Calendar-Query
下周六我爷爷让我去买茶叶，记得提醒我	Alarm-Update
明天叫我去森林野炊	Alarm-Update
龙抬头是什么时候	Calendar-Query
明天9点的闹钟不要再响了	Alarm-Update
给我播放雨下解说今年讲解的所有关于植物大战僵尸的视频	Video-Play
播放一首适合开心时候听的歌曲呢	Music-Play
快告诉我周四下午到杭州的航班	Travel-Query
这个烧水壶可以关闭了	HomeAppliance-Control
我想听顽童的辣台妹能播放一下不	Music-Play
很想看日本的电影预告随便播一个给我	Video-Play
给我来一个美国的漫威系列电影钢铁侠1吧	FilmTele-Play
查找国产动漫全职高手第一季	Video-Play
吴宇森有个美国电影风语者口碑不错，我要看看	FilmTele-Play
找陈博嘉洋轮流主播的活在成都	Radio-Listen
香港的电视剧鹿鼎记第三集花絮播放出来	Video-Play
帮我查一下玉溪紫外线指数是多少。	Weather-Query
